CustomerId,Frequency,Monetary_Sum,Monetary_Mean,Monetary_Std,Monetary_Min,Monetary_Max,Fraud_Count,First_Transaction_Date,Last_Transaction_Date,Recency,Tenure_Days,Frequency_Daily,Monetary_CV,Fraud_Rate,Monetary_Range,Avg_Txn_Value,is_high_risk_rule,is_high_risk
CustomerId_1,1,-10000.0,-10000.0,0.0,-10000.0,-10000.0,0,2018-11-21 16:49:14+00:00,2018-11-21 16:49:14+00:00,2749,1,1.0,0.0,0.0,0.0,-10000.0,1,1
CustomerId_10,1,-10000.0,-10000.0,0.0,-10000.0,-10000.0,0,2018-11-21 16:49:09+00:00,2018-11-21 16:49:09+00:00,2749,1,1.0,0.0,0.0,0.0,-10000.0,1,1
CustomerId_1001,5,20000.0,4000.0,6558.96,-5000.0,10000.0,0,2018-11-16 07:53:19+00:00,2018-11-16 08:20:39+00:00,2755,1,5.0,1.639739999590065,0.0,15000.0,4000.0,0,0
CustomerId_1002,8,3325.0,415.62,582.78,-75.0,1500.0,0,2018-11-15 18:50:09+00:00,2018-12-10 14:48:07+00:00,2730,24,0.3333333333333333,1.4021943087382842,0.0,1575.0,415.625,0,0
CustomerId_1004,1,2000.0,2000.0,0.0,2000.0,2000.0,0,2018-12-22 18:14:31+00:00,2018-12-22 18:14:31+00:00,2718,1,1.0,0.0,0.0,0.0,2000.0,0,0
CustomerId_1005,9,48800.0,5422.22,5983.68,-5000.0,10000.0,0,2018-12-28 08:44:36+00:00,2018-12-28 13:08:44+00:00,2712,1,9.0,1.103547993053851,0.0,15000.0,5422.222222222223,0,0
CustomerId_1006,1,1000.0,1000.0,0.0,1000.0,1000.0,0,2018-12-11 07:28:04+00:00,2018-12-11 07:28:04+00:00,2730,1,1.0,0.0,0.0,0.0,1000.0,0,0
CustomerId_1007,1,28000.0,28000.0,0.0,28000.0,28000.0,0,2018-11-24 06:35:26+00:00,2018-11-24 06:35:26+00:00,2747,1,1.0,0.0,0.0,0.0,28000.0,0,0
CustomerId_1008,2,20000.0,10000.0,0.0,10000.0,10000.0,0,2018-12-09 13:14:07+00:00,2018-12-09 13:15:46+00:00,2731,1,2.0,0.0,0.0,0.0,10000.0,0,0
CustomerId_1010,7,26335.0,3762.14,4971.8,-1000.0,10000.0,0,2018-12-21 08:18:38+00:00,2019-01-02 20:55:21+00:00,2707,12,0.5833333333333334,1.32153508340425,0.0,11000.0,3762.142857142857,0,0
CustomerId_1012,49,84266.0,1719.71,4027.9,-1100.0,22000.0,0,2018-11-16 10:42:35+00:00,2019-01-02 18:17:44+00:00,2707,47,1.0425531914893618,2.3421972295664983,0.0,23100.0,1719.7142857142858,0,0
CustomerId_1014,8,763880.0,95485.0,119332.84,1000.0,300000.0,0,2018-12-25 09:07:21+00:00,2018-12-25 10:03:05+00:00,2716,1,8.0,1.2497548305885768,0.0,299000.0,95485.0,0,0
CustomerId_1020,199,283095.0,1422.59,2510.28,-100.0,10000.0,0,2018-11-15 12:27:46+00:00,2018-12-17 03:47:04+00:00,2724,31,6.419354838709677,1.7645843132845134,0.0,10100.0,1422.5879396984924,0,0
CustomerId_1021,1,5000.0,5000.0,0.0,5000.0,5000.0,0,2018-11-27 19:14:07+00:00,2018-11-27 19:14:07+00:00,2743,1,1.0,0.0,0.0,0.0,5000.0,0,0
CustomerId_1029,8,50500.0,6312.5,9059.08,-5000.0,20000.0,0,2018-11-15 09:24:03+00:00,2018-12-04 05:24:59+00:00,2737,18,0.4444444444444444,1.435101781950875,0.0,25000.0,6312.5,0,0
CustomerId_1030,3,-50.0,-16.67,1000.42,-1000.0,1000.0,0,2019-01-01 15:16:16+00:00,2019-01-01 15:17:15+00:00,2708,1,3.0,-60.01320096059993,0.0,2000.0,-16.666666666666668,1,1
CustomerId_1031,33,51448.8,1559.05,2950.72,-5000.0,12000.0,0,2018-12-04 07:18:10+00:00,2018-12-27 10:50:08+00:00,2714,23,1.434782608695652,1.8926397473508607,0.0,17000.0,1559.0545454545456,0,0
CustomerId_1033,2,950.0,475.0,742.46,-50.0,1000.0,0,2018-12-09 09:37:35+00:00,2018-12-09 09:38:39+00:00,2732,1,2.0,1.5630736809198449,0.0,1050.0,475.0,1,1
CustomerId_1034,13,37708.0,2900.62,8783.92,-5000.0,28000.0,0,2018-11-23 06:54:00+00:00,2018-12-15 07:03:27+00:00,2726,22,0.5909090909090909,3.0282905023656013,0.0,33000.0,2900.6153846153848,0,0
CustomerId_1036,3,-50.0,-16.67,1000.42,-1000.0,1000.0,0,2018-11-15 09:35:27+00:00,2018-11-15 09:36:09+00:00,2756,1,3.0,-60.01320096059993,0.0,2000.0,-16.666666666666668,1,1
CustomerId_1039,18,103595.0,5755.28,9542.48,-5000.0,22050.0,0,2018-12-06 14:19:13+00:00,2018-12-09 05:06:16+00:00,2732,2,9.0,1.6580392263003645,0.0,27050.0,5755.277777777777,0,0
CustomerId_1043,6,14000.0,2333.33,6976.15,-5000.0,10000.0,0,2018-12-28 19:43:20+00:00,2018-12-28 19:47:28+00:00,2712,1,6.0,2.9897828412655807,0.0,15000.0,2333.333333333333,0,0
CustomerId_1044,16,21848.5,1365.53,2064.19,-622.0,6000.0,0,2018-11-17 09:47:23+00:00,2018-12-27 10:11:25+00:00,2714,40,0.4,1.5116401679116238,0.0,6622.0,1365.53125,0,0
CustomerId_1048,1,1000.0,1000.0,0.0,1000.0,1000.0,0,2019-01-02 07:42:14+00:00,2019-01-02 07:42:14+00:00,2708,1,1.0,0.0,0.0,0.0,1000.0,0,0
CustomerId_1050,1,5000.0,5000.0,0.0,5000.0,5000.0,0,2018-12-21 18:49:35+00:00,2018-12-21 18:49:35+00:00,2719,1,1.0,0.0,0.0,0.0,5000.0,0,0
CustomerId_1052,4,56000.0,14000.0,24000.0,2000.0,50000.0,0,2018-12-30 16:22:18+00:00,2018-12-30 16:42:01+00:00,2710,1,4.0,1.7142857141632653,0.0,48000.0,14000.0,0,0
CustomerId_1053,7,13788.0,1969.71,1911.44,-12.0,4000.0,0,2018-11-15 04:31:48+00:00,2018-11-16 07:20:04+00:00,2755,1,7.0,0.9704169644412542,0.0,4012.0,1969.7142857142856,0,0
CustomerId_1054,36,89620.0,2489.44,4813.83,-1000.0,20000.0,0,2018-12-08 21:36:49+00:00,2019-01-02 18:29:41+00:00,2707,24,1.5,1.9336999478060528,0.0,21000.0,2489.4444444444443,0,0
CustomerId_1055,5,5850.0,1170.0,1338.66,-100.0,3000.0,0,2018-11-15 09:45:48+00:00,2018-11-23 16:24:57+00:00,2747,8,0.625,1.1441538451759368,0.0,3100.0,1170.0,0,0
CustomerId_1056,4,5500.0,1375.0,1108.68,500.0,3000.0,0,2018-12-16 18:13:01+00:00,2018-12-20 09:33:23+00:00,2721,3,1.3333333333333333,0.806312726686318,0.0,2500.0,1375.0,0,0
CustomerId_1057,2,4504.0,2252.0,3886.26,-496.0,5000.0,0,2018-11-15 06:08:57+00:00,2018-11-15 06:11:04+00:00,2756,1,2.0,1.7256927168180762,0.0,5496.0,2252.0,0,0
CustomerId_1058,20,8825.0,441.25,585.92,-100.0,2000.0,0,2018-11-18 10:56:06+00:00,2018-12-29 13:17:32+00:00,2711,41,0.4878048780487805,1.3278640196535658,0.0,2100.0,441.25,0,0
